Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade	Lineage	Inferred Origins	Inferred Origin Confidences	Growth Score	Click to View
AK_node_32065	AK	137	2021-08-04	2021-09-18	21A(Delta)	B.1.617.2	AR	0.225989	1.06406	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_32065","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_170599	AK	363	2021-06-11	2021-09-14	21A(Delta)	B.1.617.2	CA	0.202631	1.05848	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_170599","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_30150	AK	68	2021-08-14	2021-09-15	21A(Delta)	B.1.617.2	IA	0.191257	0.916246	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_30150","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_125543	AK	98	2021-08-03	2021-09-22	21A(Delta)	AY.3.1	AL	0.0832934	0.899954	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_125543","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_31266	AK	152	2021-07-14	2021-09-20	21A(Delta)	B.1.617.2	AR	0.467009	0.880631	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_31266","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_234199	AK	995	2021-02-04	2021-06-15	20B	B.1.1.519	WA	0.0652108	0.876212	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_234199","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_146137	AK	229	2021-06-14	2021-09-18	21A(Delta)	B.1.617.2	MA	0.120447	0.840708	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_146137","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_170963	AK	60	2021-07-28	2021-09-13	21A(Delta)	B.1.617.2	CA	0.202631	0.645497	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_170963","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_29979	AK	45	2021-08-04	2021-09-14	21A(Delta)	B.1.617.2	WA	0.539589	0.609837	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_29979","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_157313	AK	37	2021-08-06	2021-09-06	21A(Delta)	AY.25	LA	0.541209	0.608276	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_157313","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_143408	AK	13	2021-09-07	2021-09-15	21A(Delta)	B.1.617.2	MO	0.383562	0.600925	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_143408","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_25525	AK	75	2021-07-04	2021-09-20	21A(Delta)	B.1.617.2	CO	0.137102	0.57735	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_25525","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_149075	AK	27	2021-08-16	2021-09-18	21A(Delta)	AY.25	LA	0.166667	0.57735	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_149075","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_130677	AK	87	2021-06-18	2021-09-22	21A(Delta)	B.1.617.2	CA	0.0822437	0.548669	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_130677","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_122533	AK	35	2021-07-29	2021-09-14	21A(Delta)	AY.3	TX	0.135593	0.537825	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_122533","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_110959	AK	23	2021-08-15	2021-09-16	21A(Delta)	B.1.617.2	NC	0.257143	0.53287	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_110959","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_169846	AK	22	2021-08-14	2021-09-24	21A(Delta)	B.1.617.2	CA	0.202631	0.521157	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_169846","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_177771	AK	74	2021-06-22	2021-09-13	21A(Delta)	AY.26	CA	0.470852	0.506019	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_177771","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_114323	AK	11	2021-08-31	2021-09-22	21A(Delta)	B.1.617.2	FL	0.323529	0.473804	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_114323","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_178473	AK	14	2021-08-23	2021-09-22	21A(Delta)	AY.26	MN	0.344262	0.467707	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_178473","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_181306	AK	34	2021-07-16	2021-09-14	21A(Delta)	B.1.617.2	FL	0.537741	0.448535	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_181306","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_8141	AK	16	2021-08-18	2021-09-03	21A(Delta)	B.1.617.2	MN	0.671141	0.444444	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_8141","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_140080	AK	16	2021-08-12	2021-09-15	21A(Delta)	B.1.617.2	GA	0.155556	0.444444	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_140080","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_142933	AK	7	2021-09-06	2021-09-15	21A(Delta)	B.1.617.2	HI	0.365854	0.440959	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_142933","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
AK_node_166559	AK	19	2021-08-06	2021-09-07	21A(Delta)	B.1.617.2	NC	0.100295	0.43589	https://cov2tree-git-newnewmeta-theosanderson.vercel.app/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"AK_AK_node_166559","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
