Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade	Lineage	Inferred Origins	Inferred Origin Confidences	Growth Score	Click to View
node_98101	KS	2	2021-09-07	2021-09-07	21A(Delta)	B.1.617.2	SC	0.666667	0.471405	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_98101","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_85290	KS	3	2021-09-01	2021-09-04	21A(Delta)	AY.3	MO	0.124402	0.433013	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_85290","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_61429	KS	30	2021-07-03	2021-09-06	21A(Delta)	B.1.617.2	MO	0.254881	0.421325	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_61429","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_61440	KS	14	2021-07-29	2021-09-03	21A(Delta)	B.1.617.2	MO	0.298507	0.41574	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_61440","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_47460	KS	7	2021-08-12	2021-09-01	21A(Delta)	B.1.617.2	OK	0.590361	0.377964	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_47460","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_79414	KS	46	2021-05-28	2021-09-07	21A(Delta)	AY.3	MN	0.100104	0.376796	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_79414","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_50718	KS	2	2021-08-31	2021-09-07	21A(Delta)	B.1.617.2	TX	0.864112	0.353553	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_50718","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_41614	KS	2	2021-09-05	2021-09-06	21A(Delta)	B.1.617.2	TN	0.571429	0.353553	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_41614","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_57247	KS	2	2021-08-31	2021-09-01	21A(Delta)	B.1.617.2	TX	0.5	0.353553	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_57247","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
node_55882	KS	2	2021-08-31	2021-08-31	21A(Delta)	B.1.617.2	IN	0.497238	0.353553	https://cov2tree.org/?protoUrl=https://raw.githubusercontent.com/jmcbroome/introduction-website/main/data/cview.pb&search=[{"id":0.123,"category":"country","value":"node_55882","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"country","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0
